id,Geographic Area Name,Total,Male,Female,White,Black_AA,Am_Ind,Asian,Pac/HA,other,2ormore,hisp/lat,white_nohisp,<18yrs,<5yrs,5-17yrs,18-64yrs,18-34yrs,35-64yrs,>60yrs,>65yrs,Total_>25,">25,noHSdeg",">25,Hsdeg",">25,col/ASD",">25,BA+"
37001,"Alamance County, North Carolina",158887,76004,82883,110526,31360,657,2395,66,10088,3795,20156,101440,36139,9429,26710,96389,33950,62439,36376,26359,108871,14719,30079,36918,27155
37003,"Alexander County, North Carolina",35794,17693,18101,31960,1490,89,389,0,1372,494,1710,31658,7445,1869,5576,21273,6624,14649,9547,7076,25638,4305,9859,7697,3777
37005,"Alleghany County, North Carolina",10896,5336,5560,10419,245,38,46,1,89,58,1061,9487,1918,456,1462,6137,1728,4409,3869,2841,8309,1825,2410,2619,1455
37007,"Anson County, North Carolina",23092,11538,11554,11239,11160,13,287,0,119,274,941,10491,4790,1154,3636,14003,5050,8953,5930,4299,16389,3042,6654,4694,1999
37009,"Ashe County, North Carolina",26520,13046,13474,25375,163,102,110,26,337,407,1282,24610,4742,1128,3614,15327,4394,10933,8750,6451,20127,2931,6378,6823,3995
37011,"Avery County, North Carolina",14059,6908,7151,13593,47,102,38,4,186,89,759,13096,2490,579,1911,7877,2334,5543,4971,3692,10885,1530,3249,3454,2652
37013,"Beaufort County, North Carolina",46640,22287,24353,33648,11627,124,51,0,404,786,3650,30733,9432,2313,7119,26424,8030,18394,14406,10784,33833,4064,11000,11773,6996
37015,"Bertie County, North Carolina",18058,8477,9581,6467,11056,98,135,1,147,154,325,6383,3340,825,2515,10617,3302,7315,5746,4101,13277,2685,5073,3579,1940
37017,"Bladen County, North Carolina",32918,15792,17126,19010,11378,836,48,0,1334,312,2465,18065,6744,1665,5079,19288,6092,13196,9679,6886,23731,4401,7893,7657,3780
37019,"Brunswick County, North Carolina",130834,62850,67984,110259,12629,907,766,9,3084,3180,6304,107282,20491,5218,15273,70579,19159,51420,53046,39764,103194,8868,28726,34633,30967
37021,"Buncombe County, North Carolina",250342,120437,129905,222873,15549,1009,3166,354,2731,4660,16532,209438,47204,12568,34636,155115,52690,102425,66475,48023,185464,16128,42707,51451,75178
37023,"Burke County, North Carolina",87290,42783,44507,74192,4554,811,3236,137,2773,1587,5316,71858,16448,4071,12377,53629,17285,36344,23828,17213,63752,11530,19746,21794,10682
37025,"Cabarr County, North Carolina",204739,99794,104945,144591,36640,665,7696,210,9461,5476,21391,134410,52597,12948,39649,125925,41796,84129,37091,26217,135787,13460,34009,44201,44117
37027,"Caldwell County, North Carolina",80666,39698,40968,71910,3536,299,415,36,2880,1590,4436,70597,16292,3943,12349,48822,15051,33771,21178,15552,58248,11561,18896,18529,9262
37029,"Camden County, North Carolina",10551,5587,4964,8718,1460,12,189,13,28,131,308,8489,2393,485,1908,6311,1848,4463,2512,1847,7443,1004,2188,2977,1274
37031,"Carteret County, North Carolina",67723,33090,34633,61107,3426,208,792,32,322,1836,2922,58710,11921,2801,9120,39362,10965,28397,22474,16440,51486,4176,13143,19093,15074
37033,"Caswell County, North Carolina",21717,10544,11173,13945,6877,42,152,15,430,256,907,13514,4256,1035,3221,12935,3854,9081,6164,4526,15823,3018,5217,4957,2631
37035,"Catawba County, North Carolina",154803,75536,79267,122740,12177,441,6855,0,9186,3404,15181,117190,34696,8709,25987,93331,30581,62750,36750,26776,107622,15001,32110,35935,24576
37037,"Chatham County, North Carolina",70584,33699,36885,57212,7884,79,1068,48,2131,2162,8637,50651,14411,3417,10994,39495,10610,28885,21928,16678,51653,5699,10833,13170,21951
37039,"Cherokee County, North Carolina",27571,13544,14027,25786,282,410,203,12,264,614,875,25141,4667,1037,3630,14990,4089,10901,10436,7914,21231,2667,7189,7303,4072
37041,"Chowan County, North Carolina",13811,6454,7357,8439,4874,60,46,0,263,129,498,8273,2856,622,2234,7734,2422,5312,4330,3221,10364,1332,3439,3307,2286
37043,"Clay County, North Carolina",10921,5199,5722,10560,225,43,22,17,7,47,361,10206,1909,408,1501,5730,1634,4096,4363,3282,8358,987,2790,2598,1983
37045,"Cleveland County, North Carolina",95255,46101,49154,70831,20175,262,993,14,1743,1237,3376,69201,20841,5292,15549,56900,18660,38240,23906,17514,66637,10495,22897,21527,11718
